cd,pp,fb,sd,bid,ibz,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
204,44,14;17;19,7;9,161st Street?BID,,BX04,23;22;25,8;17;16;15;14,8;17;16;15;14,15,84;77;79;86,29;32;31,park-cemetery-etc-Bronx;East Concourse-Concourse Village;West Concourse;Highbridge;Mount Hope;Claremont-Bathgate;University Heights-Morris Heights,10451;10456;10452;10457,Grand Concourse Historic District;Clay Avenue Historic District
501,121;120,21;22,31,Forest Avenue?BID,Staten Island West Shore;Staten Island North Shore,SI01,51,50;49,50;49,11,64;63;61,24;23,Westerleigh;Grymes Hill-Clifton-Fox Hills;Stapleton-Rosebank;Port Richmond;New Brighton-Silver Lake;Mariner's Harbor-Arlington-Port Ivory-Graniteville;West New Brighton-New Brighton-St. George,10305;10314;10304;10301;10302;10303;10310,St. Paul's Avenue-Stapleton Heights Historic District;St. George / New Brighton Historic District
407,110;109,53;52,26;25,Downtown Flushing,,QE07,43,20;21;19,24;20;21;19,6;3;14,25;27;40;26,16;11,park-cemetery-etc-Queens;Queensboro Hill;East Flushing;Auburndale;Bayside-Bayside Hills;Flushing;Murray Hill;Ft. Totten-Bay Terrace-Clearview;College Point;Whitestone,11367;11365;11355;11368;11358;11354;11360;11359;11356;11357,Fort Totten Historic District
228,45,20;15,8;11,,,,24,13,13,14,82,34,park-cemetery-etc-Bronx,10461;10465;10464;10475;10469,
107,20;24,9;11,3,Lincoln Square BID;Columbus Avenue BID;Columbus Amsterdam BID,,MN07,15;16,6;7,3;6;7,12;13,75;67;69,47;30,Lincoln Square;Upper West Side;Morningside Heights,10023;10069;10024;10025,West 71st Street Historic District;West End-Collegiate Historic District Extension;West End - Collegiate Historic District;Central Park West - West 73rd - 74th Street Historic District;Central Park West - 76th Street Historic District;Upper West Side/Central Park West Historic District;Riverside Drive-West 80th-81st Street Historic District;Riverside-West End Historic Distric Extension I;Riverside-West End Historic District;Riverside-West End Historic District Extension II;Manhattan Avenue Historic District;Riverside - West 105th Street Historic District;Morningside Heights Historic District
483,106;113,54,27,,JFK,,45;44,31,28;31,5,31,10,Rosedale;Airport,11430;11422,
482,102,51;46,28;24,,,,46,32;29,30;29,5;7,38;28,14;15,park-cemetery-etc-Queens;Kew Gardens,11385;11415;11375,
406,102;104;112,51;50;46,28;24,,,QW06,46;43,32;30;29;24,30;29,5;6;7,28;39;27;35;30,14;15;13;12,park-cemetery-etc-Queens;Glendale;Forest Hills;Rego Park,11385;11375;11374;11373,
409,75;102,51;50,27;28;24,Woodhaven BID,Jamaica,QW09,45;46,32;29,32;28;30;29,5;7,23;31;32;24;38;28;27,14;15,South Ozone Park;Ozone Park;Richmond Hill;Woodhaven;Kew Gardens,11419;11418;11416;11421;11415,
210,45,3;20;15,8;11,Throggs Neck BID;Westchester Square,Zerega;Eastchester,BX10,26;24,18;13;12,18;13;12,14,87;82,34;36,Schuylerville-Throgs Neck-Edgewater Park;Soundview-Castle Hill-Clason Point-Harding Park;Westchester-Unionport;Pelham Bay-Country Club-City Island;park-cemetery-etc-Bronx;Co-op City;Van Nest-Morris Park-Westchester Square,10464;10461;10462;10465;10475;10469,
202,114;41,3;26,7;8;12,Southern Boulevard?BID,Hunts Point,BX02,23;22,17,8;17,14;15,85;84;79,29;32,Mott Haven-Port Morris;Hunts Point;Longwood;Crotona Park East;Morrisania-Melrose,10474;10455;10459,Longwood Historic District;Manida Street Historic District;Longwood Historic District Extension
209,43;49,3;20;26;18,8;11;12,,Zerega,BX09,26;22,17;18;13,18;13;17;15,14,85;87;82,29;34;32;33,Soundview-Castle Hill-Clason Point-Harding Park;Soundview-Bruckner;Westchester-Unionport;West Farms-Bronx River;Parkchester;park-cemetery-etc-Bronx;Crotona Park East,10473;10472;10462;10459;10460,
208,52;50,27;19,10,Kingsbridge?BID,,BX08,17;21,10;14;11,10;14;11,13;15,72;78;81,31;33,Van Cortlandt Village;Marble Hill-Inwood;Spuyten Duyvil-Kingsbridge;North Riverdale-Fieldston-Riverdale,10468;10463;10471,Fieldston Historic District;Riverdale Historic District
413,113;105,54;53,27;29;26,Greater JFK,JFK,QE13,45;44;43,31;27;23,28;31;27;23,5;3,31;29;24;33;26,10;14;11,Rosedale;Springfield Gardens South-Brookville;Laurelton;St. Albans;Cambria Heights;park-cemetery-etc-Queens;Airport;Queens Village;Jamaica Estates-Holliswood;Bellerose;Glen Oaks-Floral Park-New Hyde Park,11430;11422;11413;11434;11411;11429;11428;11427;11001;11426;11004;11040;11005,Cambria Heights-227th Street Historic District;Cambria Heights-222nd Street Historic District
205,46,17;18;19,9;10,Fordham Road?BID,,BX05,25;21,16;15;14,16;15;14,13;15,77;78;86,32;31;33,Mount Hope;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights,10452;10457;10458;10453;10468,Morris Avenue Historic District
207,52,15;27;19,10,Jerome-Gun Hill?BID;Fordham Road?BID,,BX07,17;25;21,16;15;10;14;11,10;15;14;11,13;15,80;72;78;86;81,31;33,Norwood;Belmont;Fordham South;Bedford Park-Fordham North;University Heights-Morris Heights;Kingsbridge Heights;Van Cortlandt Village;Marble Hill-Inwood,10467;10458;10453;10468;10463,Perry Avenue Historic District
313,60,43,21,Brighton Beach?BID,,BKS13,37,47;48;43,47;43;48,11;8,47;46;45,23;17;22,Seagate-Coney Island;Bensonhurst East;Brighton Beach;West Brighton;Gravesend,11224;11214;11223;11235,
315,61,43;33,21;22,Kings Highway?BID,,BKS15,37;35,47;48;44;43;46,47;44;48;45;46,9;8,45;59;41,23;17;22,Bensonhurst East;Brighton Beach;Homecrest;Midwood;Gravesend;Madison;Georgetown-Marine Park-Bergen Beach-Mill Basin;Sheepshead Bay-Gerritsen Beach-Manhattan Beach;park-cemetery-etc-Brooklyn,11223;11210;11235;11229,
311,62,42;43;40,20;21,,,BKS11,31;37;35,50;47;44;43;38,47;43;44;38,11;9;10,47;46;49;45,23;17;22;26,Bensonhurst East;Bath Beach;Dyker Heights;Ocean Parkway South;Gravesend;Bensonhurst West;Borough Park,11214;11219;11228;11223;11230;11204,
312,66,42;41;48;40;33,20;21;15;22,,,BKS12,31;37;39;35,44;45;40;43;38;39,44;45;40;39;38,9;10,49;45;48;42;44;51,17;22;20;21,Homecrest;Ocean Parkway South;Midwood;Kensington-Ocean Parkway;Windsor Terrace;Flatbush;Borough Park;Sunset Park East,11219;11220;11218;11230;11204;11232,
484,100;106;101;113,47;51;54,27,,,QE14,45,32;31,32;31,5,23;31,10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;Lindenwood-Howard Beach;park-cemetery-etc-Queens;Airport,11693;11694;11096;11414;11430;11697,
310,68,42;40,20,86th Street Bay Ridge?BID;Bay Ridge 5th Avenue?BID,,BKS10,31;39,50;47;43;38,43;38,11;10,64;46;49;51,23;17;26,Dyker Heights;Bay Ridge;Borough Park;Sunset Park East;Sunset Park West;park-cemetery-etc-Brooklyn,11219;11228;11209;11220,Bay Ridge Parkway - Doctors' Row Historic District
405,102;104,51;44;46;45,24,Myrtle Avenue DMA,Ridgewood;Maspeth,QW05,46;41,32;30;34;26,30;34;29,5;6;7,38;28;39;30;37,18;15;12,park-cemetery-etc-Queens;Ridgewood;Glendale;Elmhurst;Middle Village;Maspeth;Hunters Point-Sunnyside-West Maspeth,11208;11385;11374;11373;11379;11378;11377,Ridgewood South Historic District;Central Ridgewood Historic District;Ridgewood North Historic District;Stockholm Street Historic District
309,71,41;38,17;18,,,BKN09,36;35;32,40;35;41,40;35;41,9;10,43;44;57;58;55,20,Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North,11226;11225;11203;11213,Melrose Parkside Historic District;Chester Court Historic District;Prospect Lefferts Gardens Historic District
355,78,38;57;48,17;13,,,,36;39,35;39,35;39,10,44;52,20,Park Slope-Gowanus;park-cemetery-etc-Brooklyn,11215;11238,
410,106,51;54;50,27;28,,JFK,QE10,45,32;31;28;29,32;28,5;7,23;31;24;38,10;19;15,South Ozone Park;Lindenwood-Howard Beach;Ozone Park;Richmond Hill;Airport,11420;11414;11208;11417;11430;11419,
408,107,54;50;53;52,29;28;26;25,,,QE08,45;44;43,24;23;20,24;23,5;6,29;32;24;25;27,14;16;11,Jamaica;park-cemetery-etc-Queens;Briarwood-Jamaica Hills;Pomonok-Flushing Heights-Hillcrest;Kew Gardens Hills;Jamaica Estates-Holliswood;Fresh Meadows-Utopia;Oakland Gardens;Queensboro Hill,11435;11432;11367;11423;11366;11427;11364;11365,
412,113;103,54;50,27;29;28,Greater JFK;Sutphin Boulevard BID;180th Street BID;Jamaica Center BID;165th Street BID,JFK;Jamaica,QE12,45;44,31;28;27;24;23,28;31;27;24;23,5,31;29;32;24;33,10;14;11,Springfield Gardens South-Brookville;Springfield Gardens North;Laurelton;Baisley Park;St. Albans;South Jamaica;Jamaica;Hollis;Briarwood-Jamaica Hills;Queens Village;Jamaica Estates-Holliswood,11436;11430;11413;11434;11451;11435;11411;11412;11433;11432;11423,Addisleigh Park Historic District
403,110;115,52;46;49,25;24;30,82nd Street BID,,QW03,42;43,25;22;21,25;22;21,6;14,39;35;30;34,11;13;12,park-cemetery-etc-Queens;Airport;Corona;North Corona;Elmhurst-Maspeth;Jackson Heights;East Elmhurst,11368;11377;11372;11370;11369,Jackson Heights Historic District
201,40,14;26,7;8,HUB/3rd Avenue?BID,Port Morris,BX01,23,8;17,8;17,15,84;79,29;32,Mott Haven-Port Morris;Melrose South-Mott Haven North;West Concourse,10451;10454;10455;10459;10456,Bertine Block Historic District;Mott Haven East Historic District;Mott Haven Historic District
302,78;84;88,57;32;31,15;13;14,North Flatbush?BID;Fulton Area Business (FAB) Alliance;Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;Montague Street?BID;MetroTech?BID;Myrtle Avenue Brooklyn Partnership;DUMBO,Brooklyn Navy Yards,BKN02,36;38;15,35;39;1;33,35;36;39;1;33,10;8;7,44;57;52;65,25;26,Prospect Heights;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Battery Park City-Lower Manhattan;Fort Greene;Clinton Hill;park-cemetery-etc-Brooklyn,11217;11238;11201;11251;11205,Brooklyn Academy of Music Historic District;Fort Greene Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District;Vinegar Hill Historic District;Clinton Hill Historic District;Wallabout Historic District;DUMBO Historic District;Fulton Ferry Historic District
317,67,41;38;58,17;18;22;23,,Flatlands/Fairfield,BKN17,35;33,45;40;42;41,45;40;42;41,9;8,42;43;58;41;55,20;19;21,Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Canarsie;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;Rugby-Remsen Village;East New York;Brownsville,11210;11226;11234;11236;11203;11212,East 25th Street Historic District
356,100;69;75;63;61,43;47;39;58;33,19;18;22,,,,35;33,42;46,42;46,8,59;60,22;19,Georgetown-Marine Park-Bergen Beach-Mill Basin;Canarsie;park-cemetery-etc-Brooklyn;East New York,11693;11239;11234;11236;11235,
102,1;5;9;6,4;2;6,2,Chinatown;SoHo Broadway BID;NoHo BID;Hudson Square;Village Alliance BID;14th Street BID;Meatpacking BID,,MN02,15,1;2;3,1;2;3,10,65;66,27;47,SoHo-TriBeCa-Civic Center-Little Italy;West Village,10013;10012;10003;10014;10011,SoHo-Cast Iron Historic District Extension;SoHo-Cast Iron Historic District;Noho East Historic District;NoHo Historic District Extension;NoHo Historic District;Sullivan-Thompson Historic District;Charlton-King-Vandam Historic District;MacDougal-Sullivan Gardens Historic District;South Village Historic District;Greenwich Village Historic District Extension II;Weehawken Street Historic District;Greenwich Village Historic District Extension;Greenwich Village Historic District;Gansevoort Market Historic District
104,13;10;14;18,7;9,2;3,Meatpacking BID;Flatiron/23rd Street Partnership;Hudson Yards/Hell's Kitchen;34th Street BID;Garment District;Times Square BID;Lincoln Square BID,,MN04,15,3;6,3;6,10;12,66;75;67,28;47,Hudson Yards-Chelsea-Flatiron-Union Square;Clinton;Lincoln Square,10011;10001;10018;10036;10019,Gansevoort Market Historic District;Chelsea Historic District;Chelsea Historic District Extension;Lamartine Place Historic District;West Chelsea Historic District;Ladies' Mile Historic District
103,7;5;9,1;4;2;6,1;2,Chinatown;Lower East Side BID;Village Alliance BID;14th Street BID,,MN03,14;15,1;2,1;2,10;12,74;65;66,27,Lower East Side;Chinatown;East Village,10038;10007;10009;10013;10002;10003,East 10th Street Historic District;East Village / Lower East Side Historic District;St. Mark's Historic District;St. Mark's Historic District Extension
164,22,10;12,3,,,,15,6,6,12,75;67;69;68,28;47;30,park-cemetery-etc-Manhattan,00083,
306,78;76,57;48;32;31,15;13,North Flatbush?BID;Park Slope 5th Avenue?BID;Atlantic Avenue BID,Southwest Brooklyn,BKS06,36;39;38;15,35;38;39;1,35;39;38;1;33,10,44;51;61;52,20;25;26,Prospect Heights;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;park-cemetery-etc-Manhattan,11215;11217;11231;11201,Park Slope Historic District Extension;Park Slope Historic District;Park Slope Historic District Extension II;Carroll Gardens Historic District;Cobble Hill Historic District;Cobble Hill Historic District Extension
307,72,48;40,20;15,Sunset Park?5th Avenue BID;Park Slope 5th Avenue?BID,Southwest Brooklyn,BKS07,31;39;38;35,47;40;43;38;39,39;38,10,49;44;51,17;20;26,Bay Ridge;Windsor Terrace;Sunset Park East;Sunset Park West;Park Slope-Gowanus;park-cemetery-etc-Brooklyn,11220;11218;11215;11232,Sunset Park South Historic District;Central Sunset Park Historic District;Sunset Park 50th Street Historic District;Sunset Park North Historic District
595,122;120,23;21,31,,,,51,51;50;49,51;50,11,64,24;23,park-cemetery-etc-Staten Island;Oakwood-Oakwood Beach;New Dorp-Midland Beach;Old Town-Dongan Hills-South Beach;Grasmere-Arrochar-Ft. Wadsworth;park-cemetery-etc-Queens,10308;10306;10305,
318,69;75;63;61,43;41;39;58;33,19;18;22,,Flatlands/Fairfield,BKS18,35;33,45;42;46,45;42;46,9;8,42;58;59;41;60,22;19;21,Midwood;Madison;Georgetown-Marine Park-Bergen Beach-Mill Basin;Canarsie;Starrett City;Flatlands;park-cemetery-etc-Brooklyn;East Flatbush-Farragut;East New York,11210;11239;11234;11236;11235;11229;11207,
502,123;122;121,23;21;22,31,New Dorp BID;West Shore BID,Staten Island West Shore,SI02,51,51;50;49,51;50;49,11,62;64;63,24;23,Oakwood-Oakwood Beach;New Dorp-Midland Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;Old Town-Dongan Hills-South Beach;New Springville-Bloomfield-Travis;Grasmere-Arrochar-Ft. Wadsworth,10312;10306;10305;10314;10304;10301;10303,New York City Farm Colony- Seaview Hospital Historic District
503,123;122;121,23,31,South Shore BID,Rossville,SI03;SI02,51,51;50,51;50,11,62;64;63,24,Charleston-Richmond Valley-Tottenville;Annadale-Huguenot-Prince's Bay-Eltingville;Rossville-Woodrow;Great Kills;Arden Heights;Oakwood-Oakwood Beach;Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill;New Springville-Bloomfield-Travis,10307;10309;10312;10308;10306;10314,
203,42,14;26;17;18,7;8;9;12,,Bathgate,BX03,23;26;22;25,17;16;15,17;16;15,14;15,85;77;79,29;32,Longwood;park-cemetery-etc-Bronx;Crotona Park East;Melrose South-Mott Haven North;Morrisania-Melrose;East Concourse-Concourse Village;Claremont-Bathgate,10451;10459;10456;10460;10457,Morris High School Historic District
206,48;52,20;17;18,9;12;10,Belmont BID;Fordham Road?BID,Bathgate,BX06,26;22;25;21,17;15,18;17;15,14;15,87;79;78;86,32;33,West Farms-Bronx River;Van Nest-Morris Park-Westchester Square;Crotona Park East;Mount Hope;Claremont-Bathgate;East Tremont;Belmont;Fordham South,10460;10457;10458,
212,52;47,15;27,11;10,,Eastchester,BX12,24;21,13;12;11,13;12;15;11,14;15;16,82;80;83;81,34;36;33,park-cemetery-etc-Bronx;Co-op City;Eastchester-Edenwald-Baychester;Bronxdale;Allerton-Pelham Gardens;Williamsbridge-Olinville;Woodlawn-Wakefield,10464;10475;10469;10467;10466;10470,
226,50;47,15;27;19,10,,,,21,11,11,15,81,33,park-cemetery-etc-Bronx,10471;10470,
211,49,20;15;27,11,Westchester Square;Morris Park BID;White Plains Road? BID,,BX11,26;24,13;12;15,13;12;15,14;15,87;82;80;83;78,34;36;33,Van Nest-Morris Park-Westchester Square;Pelham Parkway;Bronxdale;Allerton-Pelham Gardens;East Tremont,10461;10462;10469;10467;10460,
227,49;52;47,15;18;27,11;10,,,,21,13;15;11,15;11,15,87;80;78,36;33,park-cemetery-etc-Bronx,10462;10467;10460;10458,
109,26;30,11;16;13,3;5;6,125th Street BID,,MN09,16;17,9;7,7;9,12;13,69;70;71,30,Morningside Heights;Manhattanville;Hamilton Heights,10026;10024;10025;10115;10027;10030;10031;10032,Morningside Heights Historic District;Hamilton Heights Historic District;Hamilton Heights Historic District Extension;Hamilton Heights/Sugar Hill Historic District;Hamilton Heights/Sugar Hill Historic District Extension;Hamilton Heights/Sugar Hill Northeast Historic District;Hamilton Heights/Sugar Hill Northwest Historic District
305,106;75,39;51;58;44,19,East Brooklyn?BID,Flatlands/Fairfield;East New York,BKN05,33;34,42;37,42;37,8;7,60;54;55,25;19;18;15,Starrett City;park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line;Ocean Hill,11239;11414;11208;11207;11233,
316,73,58;44,17;19;18;23;16,East Brooklyn?BID;Pitkin Avenue?BID,Flatlands/Fairfield;East New York,BKN16,33;32;34,42;41;37,42;41;37,9;8;7,58;60;55,25;19,Rugby-Remsen Village;East New York;East New York (Pennsylvania Ave);Brownsville;Ocean Hill,11236;11212;11233,
105,13;10;14;18,8;6;7;9,2,Bryant Park BID;Grand Central Partnership;East Mid-Manhattan BID;14th Street BID;Flatiron/23rd Street Partnership;34th Street BID;Garment District;Times Square BID;47th Street BID;5th Avenue BID;Madison Avenue BID,,MN05,14;13;15,4;2;3;6,2;4;3,10;12,74;73;66;75;67,59;28;47,Murray Hill-Kips Bay;Turtle Bay-East Midtown;Gramercy;Hudson Yards-Chelsea-Flatiron-Union Square;Midtown-Midtown South,10010;10016;10178;10168;10165;10017;10170;10166;10110;10173;10175;10169;10167;10096;10177;10172;10176;10171;10196;10022;10003;10011;10001;10118;10120;10121;10119;10123;10122;10018;10036;10097;10019;10154;10152;10020;10111;10055;10112;10103;10104;10105;10151;10153;10106;10107,East 17th Street / Irving Place Historic District;Ladies' Mile Historic District;Madison Square North Historic District
106,17;13,8;4;6,2,Grand Central Partnership;East Mid-Manhattan BID;14th Street BID;Flatiron/23rd Street Partnership,,MN06,14;13;15,5;4;2,2;5;4,10;12,74;73,59;28,Stuyvesant Town-Cooper Village;Murray Hill-Kips Bay;Turtle Bay-East Midtown;Gramercy;Midtown-Midtown South,10009;10010;10016;10158;10174;10017;10022;10155;10003,Tudor City Historic District;Turtle Bay Gardens Historic District;Sniffen Court Historic District;Murray Hill Historic District Extensions;Murray Hill Historic District;Stuyvesant Square Historic District;Gramercy Park Historic District Extension;Gramercy Park Historic District
301,90;94,57;31;35;28,14;32,Graham Avenue?BID;Grand Street?BID,Greenpoint/Williamsburg;North Brooklyn,BKN01,30,33;34,33;34,7,52;50;53,59;18,Bedford;Williamsburg;North Side-South Side;Greenpoint;Bushwick North;Bushwick South;East Williamsburg,11206;11249;11211;11222;11237,Fillmore Place Historic District;Greenpoint Historic District;Eberhard Faber Pencil Company Historic District
402,104;108,46;45;49,24;30,Long Island City;Sunnyside Shines,Woodside;Maspeth;Long Island City,QW02,42;41,25;26,30;26,6;7,30;37;36,59;12,park-cemetery-etc-Queens;Elmhurst-Maspeth;Woodside;Hunters Point-Sunnyside-West Maspeth,11109;11373;11378;11377;11104;11101,Hunters Point Historic District;Sunnyside Gardens Historic District
108,19;114,10;45,2,East Mid-Manhattan BID;5th Avenue BID;Madison Avenue BID,,MN08,13;12,5;4;8,5;4,12,76;73;68,28;29,Lenox Hill-Roosevelt Island;Upper East Side-Carnegie Hill;Yorkville,10044;10022;10065;10021;10075;10162;10028;10128,Treadwell Farm Historic District;Upper East Side Historic District Extension;Upper East Side Historic District;Metropolitan Museum Historic District;Park Avenue Historic District;Carnegie Hill Historic District;Expanded Carnegie Hill Historic District;Henderson Place Historic District;Hardenbergh/Rhinelander Historic District
401,108;114;115,45;49,30;7,Long Island City;Steinway Street BID,Long Island City;Astoria,QW01,42;41;23,25;26;22,26;22,6;7;14,35;30;37;36;34;85,59;11;12,park-cemetery-etc-Queens;Woodside;Hunters Point-Sunnyside-West Maspeth;Queensbridge-Ravenswood-Long Island City;Astoria;Steinway;Rikers Island;Old Astoria,11377;11101;11106;11102;11103;11105;11370,
480,114;115,49,30,,Astoria,,42;41,22;21,22;21,14,35;34,11,Airport;Steinway,11105;11370;11371,
110,28;32;30,11;16;12,3;5;6,125th Street BID,,MN10,11;17,9,9,13,69;70;68;71,30;29,Central Harlem South;Central Harlem North-Polo Grounds;Hamilton Heights,10026;10027;10030;10037;10039,Mount Morris Park Historic District;Mount Morris Park Historic District Extension;Central Harlem West 130-132nd Street Historic District;Dorrance Brooks Square Historic District;St. Nicholas Historic District
111,23;25,10;16;12,2;5;4,,,MN11,11;12,9;8,5;4;9;8,12;13,70;68,30;29,park-cemetery-etc-Manhattan;East Harlem South;Central Harlem North-Polo Grounds;East Harlem North,10029;10027;10035;10037,Expanded Carnegie Hill Historic District
